INFO  - 2013-12-09 23:03:53.037; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1386590633024&wt=json} status=0 QTime=0 
INFO  - 2013-12-09 23:03:53.095; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1386590633055&wt=json} status=0 QTime=33 
INFO  - 2013-12-09 23:09:00.327; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1386590940311&since=0&wt=json} status=0 QTime=1 
INFO  - 2013-12-09 23:09:03.595; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1386590943591&wt=json} status=0 QTime=2 
INFO  - 2013-12-09 23:09:03.626; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1386590943619&wt=json} status=0 QTime=1 
INFO  - 2013-12-09 23:09:18.669; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/properties params={_=1386590958667&wt=json} status=0 QTime=0 
INFO  - 2013-12-09 23:09:27.197; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1386590967195&wt=json} status=0 QTime=0 
INFO  - 2013-12-09 23:09:27.216; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1386590967213&wt=json} status=0 QTime=1 
INFO  - 2013-12-09 23:18:24.102; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=cat,memSize=4288,tindexSize=0,time=0,phase1=0,nTerms=0,bigTerms=0,termInstances=0,uses=0}
INFO  - 2013-12-09 23:18:24.114; org.apache.solr.request.UnInvertedField; UnInverted multi-valued field {field=content_type,memSize=4288,tindexSize=0,time=0,phase1=0,nTerms=0,bigTerms=0,termInstances=0,uses=0}
INFO  - 2013-12-09 23:18:24.154; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/browse params={} hits=0 status=0 QTime=70 
INFO  - 2013-12-09 23:18:24.404; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.css&contentType=text/css} status=0 QTime=1 
INFO  - 2013-12-09 23:18:24.404; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.js&contentType=text/javascript} status=0 QTime=0 
INFO  - 2013-12-09 23:18:24.404; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/main.css&contentType=text/css} status=0 QTime=1 
INFO  - 2013-12-10 10:46:35.073; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-12-10 10:46:35.074; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/xinghao/Downloads/solr-4.6.0/example/solr-webapp/webapp/},/Users/xinghao/Downloads/solr-4.6.0/example/webapps/solr.war
